ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1999, 10)",0.02057987619904039,10,meeting minutes,,UST,19,76,1 Mo,y_probe,0.029171371342555458
"(1999, 10)",0.02057987619904039,10,speech,Chairman Alan Greenspan,UST,19,53,1 Mo,y_probe,0.024323083316391794
"(1999, 10)",0.02057987619904039,10,speech,Governor Laurence H. Meyer,UST,19,229,1 Mo,y_probe,0.009624014081837273
"(1999, 11)",-0.02029383462187931,10,meeting minutes,,UST,19,79,1 Mo,y_bl,0.01630558977866844
"(1999, 11)",-0.02029383462187931,10,speech,Chairman Alan Greenspan,UST,19,23,1 Mo,y_bl,0.01630558977866844
"(1999, 11)",-0.02029383462187931,10,meeting minutes,,UST,19,79,1 Mo,y_probe,0.018784036503157676
"(1999, 11)",-0.02029383462187931,10,speech,Chairman Alan Greenspan,UST,19,23,1 Mo,y_probe,-0.03501091812174047
"(1999, 12)",0.05854022735372322,10,meeting minutes,,UST,19,72,1 Mo,y_bl,0.0027139992835514813
"(1999, 12)",0.05854022735372322,10,meeting minutes,,UST,19,72,1 Mo,y_probe,0.024479546595414015
"(2000, 1)",0.04157698420655686,10,speech,Governor Edward M. Gramlich,UST,19,161,1 Mo,y_bl,-0.009810158770078405
"(2000, 1)",0.04157698420655686,10,speech,Governor Laurence H. Meyer,UST,19,83,1 Mo,y_bl,-0.009810158770078405
"(2000, 1)",0.04157698420655686,10,speech,Governor Edward M. Gramlich,UST,19,161,1 Mo,y_probe,0.02204731280301417
"(2000, 1)",0.04157698420655686,10,speech,Governor Laurence H. Meyer,UST,19,83,1 Mo,y_probe,0.020757074220669552
"(2000, 2)",-0.06775796559934552,10,meeting minutes,,UST,19,98,1 Mo,y_bl,-0.0005947630899711178
"(2000, 2)",-0.06775796559934552,10,speech,Governor Laurence H. Meyer,UST,19,77,1 Mo,y_bl,-0.0005947630899711178
"(2000, 2)",-0.06775796559934552,10,meeting minutes,,UST,19,98,1 Mo,y_probe,0.026281627256745137
"(2000, 2)",-0.06775796559934552,10,speech,Governor Laurence H. Meyer,UST,19,77,1 Mo,y_probe,-0.029407699279550337
