ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2000, 12)",-0.07780354980916829,train,10,1,meeting minutes,,UST,5,70,1 Yr,y_probe,-0.025091701533981676
"(2000, 12)",-0.07780354980916829,train,10,1,speech,Chairman Alan Greenspan,UST,5,1,1 Yr,y_probe,0.02488173549599426
"(2000, 12)",-0.07780354980916829,train,10,1,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,5,57,1 Yr,y_probe,0.006967808185190392
"(2001, 1)",-0.20450627733870178,train,10,1,meeting minutes,,UST,5,65,1 Yr,y_bl,0.019919544872819613
"(2001, 1)",-0.20450627733870178,train,10,1,meeting minutes,,UST,5,65,1 Yr,y_probe,-0.0185700494531686
"(2001, 2)",0.036290001405200556,train,10,1,speech,Governor Edward M. Gramlich,UST,5,124,1 Yr,y_bl,0.017483452508207303
"(2001, 2)",0.036290001405200556,train,10,1,speech,Governor Edward M. Gramlich,UST,5,124,1 Yr,y_probe,0.023748391225260224
"(2001, 3)",-0.13203505836358334,train,10,1,meeting minutes,,UST,5,47,1 Yr,y_bl,-0.029661396371173796
"(2001, 3)",-0.13203505836358334,train,10,1,meeting minutes,,UST,5,47,1 Yr,y_probe,-0.014393695369705896
"(2001, 5)",-0.09859197591911562,train,10,1,meeting minutes,,UST,5,66,1 Yr,y_bl,-0.01153474053864659
"(2001, 5)",-0.09859197591911562,train,10,1,speech,Governor Laurence H. Meyer,UST,5,59,1 Yr,y_bl,-0.01153474053864659
"(2001, 5)",-0.09859197591911562,train,10,1,meeting minutes,,UST,5,66,1 Yr,y_probe,-0.02651350890510471
"(2001, 5)",-0.09859197591911562,train,10,1,speech,Governor Laurence H. Meyer,UST,5,59,1 Yr,y_probe,-0.008307394532982442
"(2001, 6)",-0.05697927589839569,train,10,1,meeting minutes,,UST,5,78,1 Yr,y_bl,0.045455488652385884
"(2001, 6)",-0.05697927589839569,train,10,1,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,5,52,1 Yr,y_bl,0.045455488652385884
"(2001, 6)",-0.05697927589839569,train,10,1,meeting minutes,,UST,5,78,1 Yr,y_probe,-0.02254446534468756
"(2001, 6)",-0.05697927589839569,train,10,1,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,5,52,1 Yr,y_probe,-0.009137315666064195
"(2001, 7)",0.014428663190234836,train,10,1,speech,Governor Laurence H. Meyer,UST,5,259,1 Yr,y_bl,-0.055759120387443545
"(2001, 7)",0.014428663190234836,train,10,1,speech,Governor Laurence H. Meyer,UST,5,259,1 Yr,y_probe,0.010549494177621119
"(2001, 8)",-0.06252035698133276,train,10,1,meeting minutes,,UST,5,52,1 Yr,y_bl,-0.06651889850116684
"(2001, 8)",-0.06252035698133276,train,10,1,meeting minutes,,UST,5,52,1 Yr,y_probe,-0.018133555203669792
"(2001, 10)",-0.3410702175314373,train,10,1,meeting minutes,,UST,5,56,1 Yr,y_bl,-0.0013396343126700877
"(2001, 10)",-0.3410702175314373,train,10,1,speech,Chairman Alan Greenspan,UST,5,25,1 Yr,y_bl,-0.0013396343126700877
"(2001, 10)",-0.3410702175314373,train,10,1,speech,Governor Laurence H. Meyer,UST,5,28,1 Yr,y_bl,-0.0013396343126700877
"(2001, 10)",-0.3410702175314373,train,10,1,meeting minutes,,UST,5,56,1 Yr,y_probe,-0.031028436664932463
"(2001, 10)",-0.3410702175314373,train,10,1,speech,Chairman Alan Greenspan,UST,5,25,1 Yr,y_probe,0.008967442394441593
"(2001, 10)",-0.3410702175314373,train,10,1,speech,Governor Laurence H. Meyer,UST,5,28,1 Yr,y_probe,-0.03126239060397026
"(2001, 11)",-0.18322333363594148,train,10,1,meeting minutes,,UST,5,49,1 Yr,y_bl,-0.02946024116487059
"(2001, 11)",-0.18322333363594148,train,10,1,speech,Governor Edward M. Gramlich,UST,5,59,1 Yr,y_bl,-0.02946024116487059
"(2001, 11)",-0.18322333363594148,train,10,1,meeting minutes,,UST,5,49,1 Yr,y_probe,-0.038743373290930125
"(2001, 11)",-0.18322333363594148,train,10,1,speech,Governor Edward M. Gramlich,UST,5,59,1 Yr,y_probe,-0.002747636583243347
"(2001, 12)",0.09456598575432774,train,10,1,meeting minutes,,UST,5,58,1 Yr,y_bl,-0.04623007207524639
"(2001, 12)",0.09456598575432774,train,10,1,speech,Governor Laurence H. Meyer,UST,5,118,1 Yr,y_bl,-0.04623007207524639
"(2001, 12)",0.09456598575432774,train,10,1,meeting minutes,,UST,5,58,1 Yr,y_probe,-0.022315543322367848
"(2001, 12)",0.09456598575432774,train,10,1,speech,Governor Laurence H. Meyer,UST,5,118,1 Yr,y_probe,0.011907397374722947
