ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2000, 2)",0.004126147911172495,speech,Governor Laurence H. Meyer,CPI,6,77,,y_bl,0.0030393609257920095
"(2000, 2)",0.004126147911172495,meeting minutes,,CPI,6,98,,y_probe,0.0025876104738455454
"(2000, 2)",0.004126147911172495,speech,Governor Laurence H. Meyer,CPI,6,77,,y_probe,0.0028628755639933025
"(2000, 3)",0.005865119452398204,meeting minutes,,CPI,6,62,,y_bl,0.003098952571880094
"(2000, 3)",0.005865119452398204,speech,Governor Laurence H. Meyer,CPI,6,84,,y_bl,0.003098952571880094
"(2000, 3)",0.005865119452398204,meeting minutes,,CPI,6,62,,y_probe,0.0026937793355233104
"(2000, 3)",0.005865119452398204,speech,Governor Laurence H. Meyer,CPI,6,84,,y_probe,0.0028380017289337048
"(2000, 4)",-0.0005849663811146044,speech,Chairman Alan Greenspan,CPI,6,22,,y_bl,0.0035293316040000983
"(2000, 4)",-0.0005849663811146044,speech,Governor Laurence H. Meyer,CPI,6,135,,y_bl,0.0035293316040000983
"(2000, 4)",-0.0005849663811146044,speech,Chairman Alan Greenspan,CPI,6,22,,y_probe,0.0030074031880961177
"(2000, 4)",-0.0005849663811146044,speech,Governor Laurence H. Meyer,CPI,6,135,,y_probe,0.0025461986814480663
"(2000, 5)",0.0017538735860958,meeting minutes,,CPI,6,67,,y_bl,0.0010517239918363622
"(2000, 5)",0.0017538735860958,meeting minutes,,CPI,6,67,,y_probe,0.00271116235311708
"(2000, 6)",0.00582412828598855,meeting minutes,,CPI,6,74,,y_bl,0.0026699683210062155
"(2000, 6)",0.00582412828598855,speech,Governor Laurence H. Meyer,CPI,6,142,,y_bl,0.0026699683210062155
"(2000, 6)",0.00582412828598855,meeting minutes,,CPI,6,74,,y_probe,0.0025797197908924998
"(2000, 6)",0.00582412828598855,speech,Governor Laurence H. Meyer,CPI,6,142,,y_probe,0.003141433038221653
"(2000, 8)",0.00289939315900245,meeting minutes,,CPI,6,78,,y_bl,0.002999171466336153
"(2000, 8)",0.00289939315900245,meeting minutes,,CPI,6,78,,y_probe,0.002596839521454576
"(2000, 10)",0.006924436207604856,meeting minutes,,CPI,6,65,,y_bl,0.003393025486425158
"(2000, 10)",0.006924436207604856,speech,Chairman Alan Greenspan,CPI,6,57,,y_bl,0.003393025486425158
"(2000, 10)",0.006924436207604856,speech,Governor Laurence H. Meyer,CPI,6,346,,y_bl,0.003393025486425158
"(2000, 10)",0.006924436207604856,meeting minutes,,CPI,6,65,,y_probe,0.0025465169391195273
"(2000, 10)",0.006924436207604856,speech,Chairman Alan Greenspan,CPI,6,57,,y_probe,0.0031488381855350554
"(2000, 10)",0.006924436207604856,speech,Governor Laurence H. Meyer,CPI,6,346,,y_probe,0.003071658525957475
"(2000, 11)",0.0017236430581650808,meeting minutes,,CPI,6,77,,y_bl,0.0041395027379004445
"(2000, 11)",0.0017236430581650808,meeting minutes,,CPI,6,77,,y_probe,0.0022210392509205905
"(2000, 12)",0.002293578987099032,meeting minutes,,CPI,6,70,,y_bl,0.0009154136164118082
"(2000, 12)",0.002293578987099032,speech,Chairman Alan Greenspan,CPI,6,1,,y_bl,0.0009154136164118082
"(2000, 12)",0.002293578987099032,speech,"Vice Chairman Roger W. Ferguson, Jr.",CPI,6,57,,y_bl,0.0009154136164118082
"(2000, 12)",0.002293578987099032,meeting minutes,,CPI,6,70,,y_probe,0.0023406198380268033
"(2000, 12)",0.002293578987099032,speech,Chairman Alan Greenspan,CPI,6,1,,y_probe,0.00238651878837445
